A,B,C,D,E,F,G,H,I,J,K
20220503,96,1,5,4,2,5,4,5,4,今日は昨日よりもっとずっと多くの学生が教室にいる。
20220504,38,2,2,2,3,5,1,2,3,それは全く意味をなさない。
20220505,51,5,1,3,1,3,1,4,1,今日はさらに寒い。
20220506,80,2,4,3,1,5,1,3,1,目の届く限り水ばかりだ。
20220507,70,3,4,4,1,1,4,5,2,彼はその火事で死んだ。
20220508,47,3,4,5,1,2,3,3,1,私はすぐに出発することを提案した。
20220509,95,4,4,4,1,3,1,4,1,車に鍵をかけておかなかったの？
20220510,40,5,4,5,3,1,3,2,1,その歌手は、若い人にとても人気がある。
20220511,80,4,5,3,5,3,5,2,3,彼女は私の友達の一人だ。
20220512,73,5,1,4,1,1,1,3,3,私はもう都市から離れた少年なのだ。
20220513,31,3,2,3,1,4,4,5,3,ついに夏がやってきた。
20220514,49,3,1,1,3,2,2,5,4,嵐がそれを難しくした。
20220515,66,3,3,3,1,5,2,1,4,その赤ちゃんは誰に似ていますか。
20220516,62,3,1,2,1,2,3,4,1,ジョンと話している少女はスーザンだ。
20220517,92,1,3,5,4,3,4,5,2,あなたは休んだ理由を説明しなければならない。
20220518,45,5,1,2,4,4,3,4,3,彼女は英語もフランス語も話す。
20220519,43,1,2,4,2,2,3,4,3,彼らはともにすばらしい時を過ごした。
20220520,40,4,1,1,5,5,4,3,1,あなたが来るとは少しも思っていなかった。
20220521,53,2,2,4,2,1,4,1,1,明日は１２月２５日だ。
20220522,43,3,3,5,2,5,1,5,5,彼はそこに５時頃着くでしょう。
20220523,93,1,2,5,4,3,5,5,2,順番が来るまで待ちなさい。
20220524,56,5,4,2,3,2,2,5,3,私は朝の食事前に運動することにしている。
20220525,34,3,2,5,3,1,2,1,3,ジョンは生まれた時から非常に正直のように思われる。
20220526,59,2,4,5,3,3,2,1,1,ここから郵便局への道を教えてください。
20220527,88,4,1,1,2,3,3,2,3,先週パーティーでメアリーに会った。
20220528,71,4,4,1,4,2,2,3,3,今日は終わろうとしている。
20220529,93,1,2,4,1,1,5,1,2,一人で住むことをはじめた。
20220530,30,1,2,2,4,3,2,2,4,彼は私を少し見ただけだ。
20220531,36,1,5,2,5,5,2,4,2,次の年どんな事が起こるのか分からない。
20220601,89,3,1,5,5,5,2,4,5,私たちのチームが勝つと思っている。
20220602,64,3,1,1,5,2,5,3,2,ビールを１杯やりたい。
20220603,79,4,1,5,1,3,2,1,5,彼女は私の注意を聞かない。
20220604,40,4,5,3,3,2,4,4,3,彼女は美しさを鼻にかけている。
20220605,88,5,4,4,1,1,4,1,1,ここからそこまで車で１時間です。
20220606,31,1,2,2,4,4,2,1,2,彼女は美しい。
20220607,48,1,5,5,1,1,3,4,3,彼は夜になってからは決して外に出ない。
20220608,92,1,3,5,4,5,5,1,5,これらの本は私のものです。
20220609,41,3,4,2,5,5,3,4,1,嘘をついているね。
20220610,66,3,3,4,5,4,4,3,4,あの映画はとても感動的だった。
20220611,52,5,5,1,3,3,5,3,2,彼らは今船に乗っている。
20220612,47,1,2,5,4,2,3,1,5,ジロウはすぐに彼の家に着いた。
20220613,71,1,4,3,3,5,5,5,3,具合がよくありません。
20220614,37,2,5,4,3,1,2,4,1,彼は今、事務所を出たところだ。
20220615,39,1,3,2,3,5,3,3,1,風邪によい薬はありませんか。
20220616,87,3,1,3,2,2,5,3,4,３日の間雨が降り続いている。
20220617,84,4,4,3,4,4,1,5,2,帰る時にものを買ってきてくれる？
20220618,60,4,5,4,2,2,4,5,1,私たちは昨日その川へ泳ぎに行った。
20220619,33,3,3,3,2,1,5,2,2,新聞を持ってきてくれ。
20220620,48,1,4,4,4,2,4,3,5,病院は彼の村から遠く離れていた。
20220621,38,5,4,1,3,4,5,3,4,休みを取っていいですか。
20220622,40,4,2,1,5,2,4,1,5,死んだスミス氏は医者でした。
20220623,71,5,3,4,3,4,2,2,2,何か探していますか。
20220624,93,5,2,5,5,3,2,2,5,その本は私のです。
20220625,93,5,3,4,4,2,3,5,2,彼女は自分がしたことを悪いと思った。
20220626,38,3,4,4,2,1,2,4,3,私は事故の責任を彼のせいにした。
20220627,67,4,3,3,1,2,5,3,3,この言葉はどのような意味ですか。
20220628,54,5,4,1,5,4,3,1,5,その箱は破って開けていいよ。
20220629,64,4,4,5,2,4,2,1,4,彼女はサッカーが好きではありません。
20220630,81,1,4,1,5,2,4,4,1,あなたは私の案に賛成ですか反対ですか。
20220701,90,3,1,5,3,3,5,5,3,消しておいて。
20220702,62,3,1,5,3,4,4,4,2,私と映画に行きませんか。
20220703,89,3,4,5,4,2,4,2,3,彼は、時間をうまく利用する。
20220704,46,2,3,1,1,2,1,1,5,その犬は少女の命を助けた。
20220705,67,1,4,2,1,4,1,4,4,私はテレビを見ることを時間を必要のないことに使っていると考える。
20220706,41,4,2,5,2,3,4,3,3,彼の計画は、その川に橋を作ることです。
20220707,43,4,2,1,5,3,3,5,3,いい奥さんになるよ。
20220708,88,4,1,5,1,2,2,2,1,その映画は子供のためのものだ。
20220709,64,3,2,3,1,1,4,4,1,彼は不安になった。
20220710,53,5,2,4,5,5,1,2,3,私はそう考えるしかない。
20220711,58,2,1,3,3,2,1,3,5,午後、雨になるでしょうか。
20220712,33,4,1,2,2,1,1,3,3,怒ってはならない。
20220713,39,5,1,1,3,5,5,1,2,ちょっとの時間、電話を切らないでおきてください。
20220714,56,5,3,4,4,1,5,5,3,何を言ったら良いかわからない。
20220715,35,1,3,5,4,1,1,1,1,明日また来てください。
20220716,51,2,3,2,4,4,1,1,1,医者にかかるのを怖いと思ってはならない。
20220717,69,4,4,3,5,5,3,2,1,彼が死んで３年たった。
20220718,40,4,3,5,1,1,5,3,3,彼女はその家に何回か足を運んだ。
20220719,73,3,1,2,5,3,1,2,3,一緒に飲みませんか。
20220720,41,3,3,4,5,5,1,4,2,あなたはもう大人だ。
20220721,70,5,4,2,2,1,3,3,2,雨は雪に変わった。
20220722,95,3,4,4,1,1,3,1,5,彼女は、母を電話に呼んだ。
20220723,77,5,2,4,3,2,3,2,5,その学生は英語を少しは話す。
20220724,43,2,4,5,3,5,3,5,2,この古い机は今でも使われている。
20220725,95,2,2,5,2,3,3,3,1,ものを持って行った人が逃げたので、警察が追った。
20220726,84,5,3,4,2,4,1,4,2,ほとんど僕たちの３倍くらいあるんだ。
20220727,82,1,2,2,1,1,5,5,3,通りを歩いていたら、財布を見つけた。
20220728,36,2,2,3,5,1,4,2,4,他の人の悪いことを言うな。
20220729,87,2,5,1,2,3,5,5,2,私の報告書に目を通してくれませんか。
20220730,36,2,2,3,1,4,1,5,4,天気の予想によれば今夜は雪になるそうだ。
20220801,34,5,2,2,1,4,2,5,4,彼は私が最も話をしたくない人だ。
20220802,97,1,2,4,3,1,5,2,2,また来てくださいね。
20220803,40,4,5,1,3,2,3,4,3,彼女の行動に我慢できない。
20220804,72,4,1,3,5,1,5,3,4,私はあなたを探していた。
20220805,87,3,1,3,5,5,5,4,5,もし私があなたなら、彼の注意に従うだろう。
20220806,59,1,2,4,1,2,5,4,4,彼が試験に合格するは間違いない。
20220807,54,3,1,4,2,2,4,3,2,私は多くの人の中で道に迷った。
20220808,58,1,3,1,2,3,1,2,2,公園で降りました。
20220809,75,4,5,1,4,3,4,5,2,私はたくさん食べさせられた。
20220810,76,3,1,5,3,3,5,1,1,食事を作る場所をきれいにしろ。
20220811,51,5,2,4,1,4,4,5,2,彼は逃げるよりほか仕方がなかった。
20220812,53,3,5,5,2,4,2,5,2,それは彼の身には大変だった。
20220813,90,3,1,5,3,3,2,3,2,この花は美しいですね。
20220814,46,1,5,1,2,1,3,5,4,日本は地震が多い。
20220815,48,1,3,4,1,5,4,3,2,困ったことには今あまりお金がないんだ。
20220816,49,2,2,1,5,3,5,1,5,私の父は時々外国へ行きます。
20220817,78,4,3,1,5,5,1,5,1,お取引ありがとう。
20220818,45,2,1,1,4,4,4,3,4,彼女は駅から自分の家までタクシーに乗る。
20220819,31,1,3,1,3,5,5,1,4,ここから駅までの距離はどのくらいですか。
20220820,86,5,2,5,3,1,4,5,4,誰も彼の話を信頼しないだろう。
20220821,37,3,5,2,2,3,2,5,2,彼女は長い間その件を考えた。
20220822,38,4,5,5,1,2,3,1,2,煙草は悪い習慣です。
20220823,55,2,1,2,2,4,3,1,5,そのコンサートは次の年の夏に開かれる。
20220824,89,2,4,4,2,5,2,1,3,私の父は私に素敵な時計をくれた。
20220825,73,5,5,2,3,2,3,5,3,空港へどう行けばよいのか教えてください。
20220826,94,5,3,5,5,4,1,5,2,私のおじはニューヨークに住んでいる。
20220827,93,1,1,4,1,1,1,3,2,私は自分の気持ちに反対してそれをした。
20220828,71,4,4,4,2,5,3,2,3,私の父の自動車はとてもいいです。
20220829,68,3,1,4,1,2,2,1,2,彼はこの町に強い愛を持っている。
20220830,82,4,5,2,2,2,2,1,5,私の意見はあなたとは全く異なる。
20220831,96,1,5,4,1,5,3,1,4,私は、ひどく、驚いている。
20220901,64,3,4,3,2,2,3,5,2,行こう、ケン。
20220902,44,1,1,1,5,4,4,3,1,今度彼がいつ来るのかわかりません。
20220903,38,1,2,1,2,3,4,2,4,少し休んだら気分が良くなった。
20220904,80,3,5,3,1,4,4,3,2,もう長いこと彼女をみない。
20220905,47,4,1,4,1,1,4,2,3,あなたのご成功を嬉しく思います。
20220906,38,3,1,2,1,1,5,1,4,みんなの仕事は誰の仕事でもない。
20220907,32,5,4,3,5,5,4,5,5,私は午前中ずっと手紙を書いていました。
20220908,35,4,1,2,1,5,4,4,2,今年は前の年より雪が多かった。
20220909,49,2,1,2,3,5,3,5,4,彼はどうしても私の住所が出てこなかった。
20220910,50,5,2,2,3,2,2,4,1,子供は決して静かにしていないものだ。
20220911,87,4,2,5,3,4,5,1,3,魚アレルギーなんです。
20220912,60,5,3,1,2,2,5,5,3,彼女は私から全て金を取った。
20220913,43,4,3,2,2,4,1,2,4,彼は彼女と結婚するつもりだった。
20220914,53,4,5,2,3,2,3,3,4,彼女はまたここに来るとは約束しなかった。
20220915,87,5,4,4,1,5,1,2,4,彼女は将来有名になるでしょう。
20220916,55,2,1,5,1,1,3,2,5,彼らは時々私たちのところへくる。
20220917,77,1,1,5,1,4,3,1,1,木から家を見ることができる。
20220918,88,4,5,5,4,5,5,3,4,人生は夢にすぎないと思いますか。
20220919,62,5,5,5,4,2,5,2,2,彼は英語では私たちより勝っている。
20220920,78,3,5,5,2,2,5,4,2,ケンは音楽がとても好きです。
20220921,94,3,3,5,4,2,4,5,3,お休み、いい夢たくさん見てね。
20220922,41,3,1,1,3,4,1,2,5,酒は飲んでも飲まれるな。
20220923,68,5,4,3,5,3,2,1,2,ようやく全て終わった。
20220924,49,1,2,4,5,4,2,2,1,私は彼女が来るまでここで待ちます。
20220925,51,4,5,4,5,5,1,1,2,彼はパリを訪れたいと思っています。
20220926,40,4,1,5,4,1,5,4,3,彼が６時頃迎えにくるだろう。
20220927,79,3,2,4,2,3,4,4,3,ちょっと行って飲んでいこう。
20220928,90,3,3,5,2,2,4,5,3,彼は一人でそこへ行くことを決めた。
20220929,42,4,4,2,5,2,2,4,1,彼が言うことはわけが分からない。
20220930,95,3,3,5,2,3,5,4,4,毎日学校に行く途中で、私は犬を目にする。
20221001,68,3,4,4,5,5,5,3,5,家の横に回ってください。
20221002,88,1,2,1,1,5,4,4,2,話は私の知る限り本当ではない。
20221003,82,5,4,1,4,3,4,3,1,この町には博物館がありますか。
20221004,89,3,4,1,5,2,3,1,4,彼は本を読むことで疲れていた。
20221005,80,4,2,5,5,1,4,4,2,彼は頑張って英語を勉強したに違いない。
20221006,39,4,5,4,2,4,3,3,2,私はインドに行ったことがある。
20221007,67,1,4,5,4,5,2,5,1,その習慣は日本ではほとんど行われていない。
20221008,49,3,4,5,1,2,3,1,4,あなたはこの寒さにすぐ何も思わなくなるだろう。
20221009,49,1,1,2,2,2,1,4,1,彼は日本文学の研究者だ。
20221010,41,4,2,2,2,3,4,5,1,それは何の事を言っているのですか。
20221011,37,2,3,4,2,3,3,3,4,あれは猫ですか犬ですか。
20221012,48,4,1,4,2,2,1,3,4,英語かフランス語かどちらか話すことができる。
20221013,90,5,2,4,5,1,4,2,2,この小説は面白くない。
20221014,54,5,1,5,3,1,3,3,5,その警察官はその男がドアを開けるのを見た。
20221015,54,4,2,4,5,2,3,4,3,私は再びスポーツをすることはできないでしょう。
20221016,73,3,4,1,4,2,3,3,5,彼はそれを一人で完成させようと決めた。
20221017,94,2,5,5,4,3,2,4,1,思わず笑ってしまった。
20221018,93,3,3,5,3,2,3,1,5,あなたはテレビを見ていいよ。
20221019,36,1,1,3,3,2,1,1,1,彼は外に出ることができない。
20221020,73,4,1,3,3,5,2,2,1,私にはあなたと同じ年の兄がいる。
20221021,93,5,4,5,2,5,1,4,4,私はその店で帽子を買った。
20221022,35,3,4,1,3,1,5,2,4,これが全ての中で最も大事な事だ。
20221023,43,3,5,4,2,3,5,4,3,その車は、速く走らない。
20221024,34,2,4,2,2,1,1,1,1,これは私が読んだ中で一番面白い本です。
20221025,39,4,5,5,5,2,5,4,5,ちょうど７時半です。
20221026,68,1,1,5,3,4,2,4,4,英語を話すことはとても楽しいことです。
20221027,66,1,4,5,2,1,2,3,2,私たちは昼の食事の後テレビを見た。
20221028,51,3,1,3,3,1,4,1,1,頑張ります。
20221029,85,1,5,5,2,3,2,5,1,責任は大部分私にあった。
20221030,95,2,4,4,4,4,1,5,2,お母さんはあなたの健康を心配している。
20221031,91,1,1,5,5,4,2,2,4,彼女から手紙があればとても嬉しいのだが。
20221101,45,3,2,2,4,1,5,5,1,日本の周囲は海だ。
20221102,78,1,3,3,2,4,3,5,3,この本に名前を書いてもらえませんか。
20221103,74,2,3,3,5,5,4,1,4,喜んであなたの代わりに行きましょう。
20221104,33,2,1,4,3,2,5,4,5,私は少し日本語を話します。
20221105,71,1,1,1,5,2,5,1,2,友達とはなんでも話すことができる。
20221106,39,4,4,3,3,4,3,1,3,私は彼女の名前がすぐに出てこない。
20221107,99,5,3,4,5,1,5,3,1,明日、家に友達が来る。
20221108,47,3,2,1,3,5,3,5,4,ここに来てどのくらい？
20221109,38,5,5,4,1,2,4,4,5,彼女のことを心配する必要はありません。
20221110,62,3,2,1,4,5,5,5,5,私たちは朝早く出発した。
20221111,74,4,3,2,4,1,4,2,3,幸せなるかな。心がいい者は。
20221112,57,3,3,3,2,4,3,2,5,言葉が出てこないで困っています。
20221113,95,3,4,4,3,4,4,3,4,買い物一緒に行く？
20221114,84,3,2,5,4,3,4,5,3,あなたは規則に従うべきだ。
20221115,71,2,4,5,3,3,3,4,5,言うのは簡単だが、するのは難しい。
20221116,72,3,2,1,5,3,3,5,2,彼女はいつ教室から出ていったのですか。
20221117,51,1,2,5,5,2,1,1,2,彼は金持ちだったはずだ。
20221118,78,1,4,3,1,1,3,1,1,人間だけに考える力がある。
20221119,89,3,4,2,4,3,5,4,1,彼は誰にも人気がある。
20221120,63,5,4,3,1,1,2,1,4,スミスさんが来ています。
20221121,79,3,1,4,4,2,1,2,4,なにか飲み物でも？
20221122,34,4,2,3,2,2,5,4,1,深く考えないでその仕事を受けてしまった。
20221123,47,4,3,1,3,5,4,1,2,先週の日曜日からずっと雨が降っている。
20221124,45,1,4,2,5,3,4,3,3,彼がハワイに行ってから２年になる。
20221125,80,1,2,4,5,1,1,2,3,彼は親切にも私の仕事を手伝ってくれた。
20221126,53,4,5,1,4,5,3,2,1,彼女は呼ばれてパーティーに行った。
20221127,68,1,3,4,2,2,5,4,2,あの車は私のです。
20221128,70,3,2,3,4,5,1,3,5,私は２度とそれをしないつもりです。
20221129,75,1,3,1,5,5,3,4,1,私もそこに呼ばれています。
20221130,40,4,2,4,2,3,1,2,4,彼は２枚目だ。
20221201,67,1,1,5,5,2,1,5,5,先生に助言を求めてみたらどうですか。
20221202,93,3,4,5,2,1,4,1,1,彼はいつも自分の意見を通そうとする。
20221203,75,2,1,4,5,3,2,3,2,彼は何を見たのか。
20221204,61,1,2,5,2,2,4,5,5,雨が終わったら歩きに行こう。
20221205,98,1,4,4,4,1,5,2,3,私たちは元気な通りを通った。
20221206,51,3,5,4,5,2,1,1,1,栄養のある朝食をとった。
20221207,72,4,5,5,3,2,2,1,3,少年は裏から入った。
20221208,55,1,1,4,5,3,3,3,4,彼女はニューヨークに住んでいる。
20221209,96,1,3,5,4,5,2,3,3,チームおめでとう。
20221210,33,5,3,5,3,5,1,4,5,その絵は距離を置いてみると良く見える。
20221211,49,1,4,4,1,3,2,1,4,テレビを消しなさい。
20221212,94,5,5,5,4,5,1,5,5,この手紙を出していただけますか。
20221213,51,4,1,2,3,1,4,2,5,その部屋にはピアノがあります。
20221214,63,3,2,5,2,3,3,3,1,今日は風が冷たい。
20221215,71,5,2,2,2,5,2,5,2,私はあなたより先に駅に着くことができる。
20221216,61,5,1,5,4,2,2,5,4,彼の乗った列車は東京駅に着いた。
20221217,87,1,3,3,1,2,4,5,4,彼女は相変わらず若い。
20221218,91,1,4,5,1,4,2,1,4,できるだけ静かにしますので。
20221219,66,2,5,5,1,1,4,1,1,私たちの努力は失敗に終わった。
20221220,47,2,5,5,2,1,4,4,5,彼女は結婚前の名はスミスだった。
20221221,56,1,2,5,5,3,2,1,3,私を手伝っていただけませんか。
20221222,69,2,5,3,4,4,1,1,5,この紙を日本に送りたいのですが。
20221223,32,2,2,2,5,2,3,1,4,彼の意見はとても分かりやすい。
20221224,45,1,3,4,2,2,3,5,1,計画はうまくいった。
20221225,76,1,3,4,2,1,1,2,3,彼は勇気があった。
20221226,34,2,3,1,3,4,3,1,3,意味を持っている物は全て、言語と呼ぶ。
20221227,65,5,1,1,1,5,1,2,1,何とすばらしい時を過ごしたことか。
20221228,78,4,5,5,5,5,4,2,1,煙草は健康によくない。
20221229,31,2,3,2,2,2,4,5,2,アフリカでは多くの人々がその嵐で死んだ。
20221230,39,4,3,4,3,5,4,4,2,おばさんには３人の子供がいる。
20221231,83,5,1,4,2,3,2,4,1,空気なしで生きることはできません。
20230101,77,5,2,5,2,2,2,1,1,ただただ楽しかった
20230102,77,4,4,4,3,5,2,3,2,うまく開発できてそうで嬉しい
